Time,PS50,PS500
0,733.5877368,733.5744815
0.5,2026.323541,1851.141575
1,3822.734007,3275.277109
1.5,1995.041047,2772.41102
2,1820.627889,2641.819863
4,1528.163081,1298.210241
7,1510.95771,1204.38927
