Time,PS50,PS500
0,684.9315068,707.7625571
0.5,3059.360731,3721.461187
1,6484.018265,8287.671233
1.5,6095.890411,5456.621005
2,2579.908676,3242.009132
4,1598.173516,2237.442922
7,1484.018265,1598.173516
