Time,PS50,PS500
0,945.8823529,945.8823529
0.5,2104.579652,2768.088866
1,4096.117142,5239.666751
1.5,3645.382479,5057.126988
2,2827.588993,3575.783893
4,1984.549356,2351.587983
7,2385.841959,1355.294118
