time_16;BB_16;time_20;BB_20;time_24;BB_24
0.02820; 42.76;0.02820;57.01;0.2820;470.4
0.08459;242.2;0.08459;277.9;0.4793;627.2
0.2256;470.3;0.2538; 520.2;0.05639;85.52
0.5075;613.0;0.4793;748.3;0.1410;327.8
0.9868;777.3;0.9868;891.3;0.2538;598.5
1.466;891.7;1.466;1041;0.4511; 869.4
1.974;1049;1.974;1320;0.9586;1076
2.989;1306;2.989;1591;1.466;1205
4.962;1579;4.962;1700;1.974;1505
6.992;1709;6.964;1837;3.017;1755
13.96;1708;13.98;1879;4.962;2006
;;;;6.936;2150
;;;;13.93;2150
