time_16;BB_16;time_20;BB_20;time_24;BB_24
0.05681;3.871;0.1140;7.038;0.05630;4.927
0.2267;16.72;0.2553;18.12;0.1429;7.918
0.4894;19.71;0.4588;22.17;0.2850;17.42
1.015; 25.69;1.509;35.54;0.4887;21.11
1.481;32.38;2.003;45.04;0.9844; 27.98
1.976;42.05;2.970;48.39;1.477;40.65
3.001;45.22;4.972;38.01;1.972;48.56
5.002; 35.89;7.000;32.55;2.969;52.26
7.000; 31.85;13.99;32.02;5.001; 38.71
13.99;30.79;;;6.999;34.31
;;;;13.99;33.61
