time_16;BB_16;time_20;BB_20;time_24;BB_24
0.56;3.4;0.067;2.6;0.0014;1.6
1.5;9.8;0.37;3.3;0.13;2.8
2.0;13;1.0;5.8;0.28;3.7
3.0;17;1.5;10;0.48;4.4
5.0;14;2.0;13;1.0;7.5
7.0;13;3.0;18;1.5;12
14;12;5.0;15;2.0;17
;;7.0;14;3.0;21
;;14;13;5.1;18
;;;;7.1;16
;;;;14;16
