time_16;BB_16;time_20;BB_20;time_24;BB_24
0.06313;2.388;0.06331;2.507;0.09390;3.105
0.3977;7.644;0.2465;5.852;0.1592;7.046
0.5535;12.54;0.2801;8.479;0.3135;10.99
1.033;15.53;0.5543; 13.14;0.5591;16.36
1.541;17.56;1.003;15.53;1.005;16.37
2.060;26.88;1.544;19.71;1.521; 23.77
3.031;20.56;2.060; 27.12;2.004;29.03
5.014;15.92;3.062;21.52;3.035;23.19
7.033;15.34;5.047;18.07;5.049;19.62
14.07;14.32;7.066;17.49;7.038;19.04
;;13.98; 15.99;13.99; 18.74
