time_16;BB_16;time_20;BB_20;time_24;BB_24
0.5137;88.02;0.5147;108.4;0.05788; 23.72
0.9710;182.8;1.031; 254.0;0.08698;40.66
1.483;230.2;1.543;311.5;0.2872;84.68
1.994;277.5;2.030;423.3;0.4312;138.9
2.988;338.3;2.998;562.0;0.9757;281.1
4.973;426.0;5.042;693.8;1.489;372.5
6.961;571.3;7.030;839.1;2.033;487.7
13.98; 573.1;14.02;837.5;3.030; 636.6
;;;;4.966; 876.8
;;;;7.066;1002
;;;;14.00;1000
