time_16;BB_16;time_20;BB_20;time_24;BB_24
0.04473;9.639;0.1660;10.00;0.03782;5.061
0.2933;14.34;0.2936;14.58;0.1093;12.41
0.5391;17.23;0.5387;16.99;0.2675;17.23
1.001; 23.38;1.033;24.83;0.4844;20.97
1.551;27.48;1.522; 28.45;1.007;27.48
1.976;29.41;2.038;30.26;1.524;29.89
2.999;27.49;2.996;25.33;2.010;31.94
5.043;21.85;5.044; 22.81;3.062;28.82
7.002; 19.94;7.003;20.42;5.016;24.02
13.97; 18.30;14.06;18.67;7.004;21.14
;;;;14.00; 20.47
