time_16;BB_16;time_20;BB_20;time_24;BB_24
0.05823;5.361;0.02876;4.466;0.02903;3.127
0.9694; 44.70;0.2907;29.04;0.1165;10.72
1.497;75.09;0.5565;33.96;0.2896; 34.84
1.964;111.3;0.9985;47.83;0.4961;39.76
2.967;135.9;1.496;79.55;0.9965;57.65
4.958;112.3;1.963;117.1;1.495;84.91
6.978;91.93;2.967;138.6;1.962;121.5
13.98;83.42;4.988;110.6;2.966;143.0
;;6.977;95.06;4.988;110.1
;;13.97;90.56;6.947;96.84
;;;;13.97;95.03
