time_16;BB_16;time_20;BB_20;time_24;BB_24
;;0.3638;134.5;0.05597;7.115
0.5037;346.5;0.5037;438.3;0.1399;99.00
1.007;445.9;1.567;764.2;0.2799;219.2
1.511;531.1;2.043;1033;0.5037;466.6
2.043;651.6;3.078;1394;1.007;622.4
3.078;998.7;4.981;1735;1.539;813.6
5.009;1248;7.052;1850;2.015;1139
6.996;1497;13.96;1878;2.994;1479
13.96;1517;;;5.009;1869
;;;;6.968;1963
;;;;13.99;1984
;;;;;
