time_16;BB_16;time_20;BB_20;time_24;BB_24
0.02820; 33.81;0.05639;42.27;0.02820;50.71
0.1410;88.77;0.08459;92.98;0.1128;126.8
0.5357;236.8;0.2820;164.9;0.3102;219.8
1.015; 359.4;0.4793;266.3;0.4793;333.9
1.466;427.2;0.9868;372.1;1.015;422.8
2.989;672.7;1.494; 490.6;1.494;570.8
4.991; 859.2;1.974;562.5;2.002;714.6
7.021;994.9;2.989; 723.4;3.017;968.5
14.04;1018;4.991;935.2;4.991;1142
;;7.021;1096;6.992;1240
;;14.01;1094;14.01;1255
