time_16;BB_16;time_20;BB_20;time_24;BB_24
0.3545;109.9;0.1364;61.07;0.05455;24.43
0.5182;211.7;0.3273; 150.6;0.1636;101.8
1.009;354.1;0.5455;354.3;0.3000; 256.6
1.527; 488.3;1.036;488.6;0.5455;427.7
2.045;642.9;1.527;639.1;1.036;610.8
3.027;756.5;1.991;842.7;1.527;781.8
5.045;934.8;3.055;1042;2.018;1042
7.064;1089;5.045;1183;3.000;1229
14.05;1073;7.036;1203;5.018;1367
;;14.05;1195;7.036;1378
;;;;13.99;1386
