time_16;BB_16;time_20;BB_20;time_24;BB_24
0.02531;16.45;0.1267;67.87;0.05075;26.74
0.2536;129.6;0.2273;146.0;0.07467;84.32
0.4324; 178.9;0.5094;189.2;0.2791;137.8
0.9204;232.4;0.9965; 271.5;0.4570;215.9
1.486; 283.8;1.484;341.4;0.9698;298.2
1.974;343.4;1.997;413.4;1.509;351.7
2.976;427.8;2.973;522.4;1.996;450.4
4.958;495.6;4.981;588.2;2.971; 584.1
6.994; 516.2;6.991;600.5;4.954;625.2
13.98;508.0;13.98;592.3;7.015; 645.8
;;;;13.97;647.8
