time_16;BB_16;time_20;BB_20;time_24;BB_24
0.08694;77.36;0.0006524;30.09;0.0008971;42.98
1.973; 455.6;0.4888;257.9;0.08710;85.96
3.058;627.5;1.031; 326.6;0.2881;176.2
4.996;803.7;1.516;399.7;0.4613;305.2
7.047;859.6;2.003;550.1;1.005;438.4
14.02;859.6;3.003;756.4;1.519;558.7
;;4.970;924.1;2.004;623.2
;;6.992;971.3;2.977;881.1
;;14.02;975.6;5.001;1066
;;;;7.051;1100
;;;;13.97;1122
