time_16;BB_16;time_20;BB_20;time_24;BB_24
0.3416;64.10;0.3700;64.10;0.1139;38.46
0.5408;128.2;0.5977;128.2;0.3416;106.8
0.9677; 265.0;1.537;448.7;0.5693; 179.5
1.565;333.3;1.992;555.6;1.025;363.2
2.021;427.4;3.017;670.9;1.509; 482.9
3.017;542.7;5.066;769.2;2.049;581.2
5.009;675.2;7.059;974.4;3.017;863.2
7.030;880.3;14.09;995.7;5.066;1021
14.00;897.4;;;7.030;1141
;;;;14.00;1197
